model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,support_total
report_mobilenetv2,0.8812,0.8448,0.8539,0.8461,0.886,0.8812,0.8818,2626
report_inceptionv3,0.8991,0.89,0.8544,0.8673,0.9007,0.8991,0.8971,2626
report_mobilenetv3small,0.8964,0.8837,0.8547,0.8661,0.8974,0.8964,0.8951,2626
report_efficientnetv2b2,0.9334,0.9079,0.921,0.9133,0.9355,0.9334,0.9337,2626
report_nasnetmobile,0.8679,0.8529,0.8123,0.8232,0.8712,0.8679,0.8643,2626
report_efficientnetv2b3,0.9402,0.9251,0.9157,0.9186,0.9414,0.9402,0.9398,2626
report_efficientnetv2b1,0.925,0.8997,0.9026,0.899,0.9269,0.925,0.9248,2626
report_mobilenetv3large,0.944,0.927,0.9266,0.9263,0.9448,0.944,0.9442,2626
report_efficientnetv2b0,0.9181,0.891,0.8933,0.8911,0.9187,0.9181,0.9178,2626
report_resnet101v2,0.9193,0.8936,0.8933,0.8924,0.9202,0.9193,0.9192,2626
report_resnet50,0.9155,0.8948,0.8848,0.8877,0.9175,0.9155,0.9154,2626
